GEOID,STATEFP,STATE,COUNTYFP,COUNTY,MEDN_INC22,TOT_HOUS22,0_35K,35K_60K,60K-100K,100K_125K,125K_150K,150K_MORE
240217402001,24, Maryland,21, Frederick County,110954.0,151,0,27,12,60,6,46
240217402002,24, Maryland,21, Frederick County,151042.0,530,103,36,35,40,46,270
240217402003,24, Maryland,21, Frederick County,113750.0,675,185,31,65,69,59,266
240217402004,24, Maryland,21, Frederick County,149358.0,602,5,15,90,35,184,273
240217501001,24, Maryland,21, Frederick County,55417.0,393,114,96,68,40,24,51
240217501002,24, Maryland,21, Frederick County,63710.0,488,117,96,181,31,53,10
240217502001,24, Maryland,21, Frederick County,90966.0,450,34,54,169,51,40,102
240217502002,24, Maryland,21, Frederick County,62625.0,669,123,205,145,26,19,151
240217503001,24, Maryland,21, Frederick County,90028.0,547,83,110,154,55,37,108
240217503002,24, Maryland,21, Frederick County,75699.0,381,124,30,107,19,30,71
240217505041,24, Maryland,21, Frederick County,101061.0,572,127,36,109,91,19,190
240217505042,24, Maryland,21, Frederick County,70786.0,644,148,137,213,55,0,91
240217505043,24, Maryland,21, Frederick County,88875.0,780,170,158,71,30,187,164
240217505044,24, Maryland,21, Frederick County,,227,78,13,32,0,0,104
240217505051,24, Maryland,21, Frederick County,87900.0,956,165,94,328,37,122,210
240217505052,24, Maryland,21, Frederick County,91153.0,873,82,96,346,128,86,135
240217505053,24, Maryland,21, Frederick County,52585.0,888,155,402,168,95,12,56
240217505061,24, Maryland,21, Frederick County,155577.0,498,20,20,40,103,63,252
240217505062,24, Maryland,21, Frederick County,77542.0,449,51,72,153,68,22,83
240217505063,24, Maryland,21, Frederick County,104583.0,388,30,52,24,104,49,129
240217505064,24, Maryland,21, Frederick County,,17,0,9,0,0,0,8
240217505071,24, Maryland,21, Frederick County,100714.0,336,0,79,81,46,51,79
240217505072,24, Maryland,21, Frederick County,99012.0,688,71,94,213,200,110,0
240217505073,24, Maryland,21, Frederick County,33529.0,424,242,152,0,0,0,30
240217505081,24, Maryland,21, Frederick County,120242.0,450,11,117,94,31,79,118
240217505082,24, Maryland,21, Frederick County,64573.0,1126,249,149,421,133,69,105
240217505083,24, Maryland,21, Frederick County,30990.0,177,132,19,26,0,0,0
240217506001,24, Maryland,21, Frederick County,118125.0,293,16,63,66,6,25,117
240217506002,24, Maryland,21, Frederick County,153194.0,339,18,11,41,47,34,188
240217506003,24, Maryland,21, Frederick County,86620.0,379,48,71,88,12,17,143
240217507011,24, Maryland,21, Frederick County,146686.0,834,0,19,141,143,144,387
240217507012,24, Maryland,21, Frederick County,94250.0,756,110,120,162,105,105,154
240217507013,24, Maryland,21, Frederick County,112500.0,274,0,0,119,28,43,84
240217507021,24, Maryland,21, Frederick County,51792.0,984,337,229,171,43,28,176
240217507022,24, Maryland,21, Frederick County,55641.0,455,144,179,69,24,10,29
240217507023,24, Maryland,21, Frederick County,116023.0,419,63,20,113,26,24,173
240217508011,24, Maryland,21, Frederick County,36827.0,432,197,113,38,17,12,55
240217508012,24, Maryland,21, Frederick County,69925.0,823,167,137,339,32,61,87
240217508013,24, Maryland,21, Frederick County,119000.0,516,162,45,28,178,29,74
240217508021,24, Maryland,21, Frederick County,92273.0,882,66,94,336,79,64,243
240217508022,24, Maryland,21, Frederick County,164167.0,498,22,22,99,33,69,253
240217508023,24, Maryland,21, Frederick County,101964.0,610,64,12,218,64,0,252
240217508024,24, Maryland,21, Frederick County,127541.0,720,78,65,91,117,127,242
240217508041,24, Maryland,21, Frederick County,122250.0,1004,49,53,203,200,187,312
240217508051,24, Maryland,21, Frederick County,86406.0,851,43,82,405,171,42,108
240217508052,24, Maryland,21, Frederick County,156563.0,988,0,33,217,183,40,515
240217510011,24, Maryland,21, Frederick County,110313.0,663,62,96,160,84,93,168
240217510021,24, Maryland,21, Frederick County,73958.0,769,144,230,60,133,43,159
240217510022,24, Maryland,21, Frederick County,134872.0,465,42,21,43,60,91,208
240217510023,24, Maryland,21, Frederick County,70736.0,997,306,106,153,88,38,306
240217510024,24, Maryland,21, Frederick County,117548.0,187,10,39,44,26,0,68
240217510031,24, Maryland,21, Frederick County,110175.0,752,120,68,184,95,117,168
240217510032,24, Maryland,21, Frederick County,100563.0,978,306,80,85,162,190,155
240217510033,24, Maryland,21, Frederick County,,356,52,123,16,0,42,123
240217510041,24, Maryland,21, Frederick County,107054.0,778,0,125,184,135,28,306
240217510042,24, Maryland,21, Frederick County,94070.0,834,92,126,231,72,119,194
240217510043,24, Maryland,21, Frederick County,102278.0,536,14,87,95,97,51,192
240217512011,24, Maryland,21, Frederick County,112750.0,312,17,21,117,37,28,92
240217512012,24, Maryland,21, Frederick County,139375.0,839,0,92,127,165,66,389
240217512013,24, Maryland,21, Frederick County,186406.0,855,56,80,87,27,71,534
240217512021,24, Maryland,21, Frederick County,120962.0,406,14,111,30,56,33,162
240217512022,24, Maryland,21, Frederick County,136890.0,431,27,44,77,21,85,177
240217512023,24, Maryland,21, Frederick County,72163.0,789,153,150,130,228,16,112
240217512024,24, Maryland,21, Frederick County,112870.0,1187,286,17,276,115,44,449
240217512031,24, Maryland,21, Frederick County,128854.0,321,27,35,61,31,41,126
240217512032,24, Maryland,21, Frederick County,111620.0,81,0,17,6,33,6,19
240217512033,24, Maryland,21, Frederick County,102083.0,393,32,63,79,50,37,132
240217513011,24, Maryland,21, Frederick County,93409.0,474,59,42,153,50,67,103
240217513012,24, Maryland,21, Frederick County,175568.0,831,61,77,25,70,149,449
240217513013,24, Maryland,21, Frederick County,75574.0,635,127,143,117,74,36,138
240217513021,24, Maryland,21, Frederick County,106250.0,617,81,74,142,100,42,178
240217513022,24, Maryland,21, Frederick County,172663.0,649,91,40,69,58,0,391
240217516001,24, Maryland,21, Frederick County,106591.0,530,57,7,157,151,45,113
240217516002,24, Maryland,21, Frederick County,86506.0,549,49,85,173,77,14,151
240217517011,24, Maryland,21, Frederick County,129375.0,233,19,17,38,35,25,99
240217517012,24, Maryland,21, Frederick County,137857.0,308,28,5,82,38,7,148
240217517013,24, Maryland,21, Frederick County,99871.0,374,40,22,130,83,22,77
240217517021,24, Maryland,21, Frederick County,133750.0,588,99,59,87,30,67,246
240217517022,24, Maryland,21, Frederick County,97188.0,489,66,91,92,42,89,109
240217517023,24, Maryland,21, Frederick County,105951.0,308,64,0,57,92,0,95
240217518011,24, Maryland,21, Frederick County,188177.0,531,20,52,73,25,17,344
240217518012,24, Maryland,21, Frederick County,160192.0,298,10,16,41,27,30,174
240217518013,24, Maryland,21, Frederick County,144167.0,348,53,29,29,48,29,160
240217518014,24, Maryland,21, Frederick County,156979.0,551,40,50,49,70,37,305
240217518021,24, Maryland,21, Frederick County,178462.0,526,24,7,39,99,61,296
240217518022,24, Maryland,21, Frederick County,170069.0,633,50,40,80,74,51,338
240217518023,24, Maryland,21, Frederick County,113958.0,205,16,17,39,57,18,58
240217519021,24, Maryland,21, Frederick County,187220.0,719,18,25,43,54,125,454
240217519022,24, Maryland,21, Frederick County,99744.0,740,85,73,221,56,54,251
240217519023,24, Maryland,21, Frederick County,112560.0,649,35,84,174,143,24,189
240217519031,24, Maryland,21, Frederick County,167173.0,411,0,17,31,44,46,273
240217519032,24, Maryland,21, Frederick County,,461,7,83,123,19,9,220
240217519033,24, Maryland,21, Frederick County,160417.0,477,57,0,19,60,0,341
240217519034,24, Maryland,21, Frederick County,250001.0,52,0,0,0,0,22,30
240217519035,24, Maryland,21, Frederick County,159048.0,426,0,19,67,11,90,239
240217519036,24, Maryland,21, Frederick County,207710.0,499,0,35,0,12,78,374
240217519041,24, Maryland,21, Frederick County,206129.0,660,0,11,37,70,60,482
240217519042,24, Maryland,21, Frederick County,121250.0,251,48,17,18,47,7,114
240217519043,24, Maryland,21, Frederick County,131198.0,491,37,29,65,80,69,211
240217519051,24, Maryland,21, Frederick County,106625.0,309,71,28,49,32,31,98
240217519052,24, Maryland,21, Frederick County,,0,0,0,0,0,0,0
240217519053,24, Maryland,21, Frederick County,149613.0,893,19,23,199,60,152,440
240217519061,24, Maryland,21, Frederick County,153438.0,193,24,9,4,33,13,110
240217519062,24, Maryland,21, Frederick County,133125.0,647,55,93,126,46,21,306
240217520011,24, Maryland,21, Frederick County,134063.0,632,0,57,146,91,69,269
240217520012,24, Maryland,21, Frederick County,151058.0,497,48,37,110,18,30,254
240217520013,24, Maryland,21, Frederick County,226583.0,495,23,6,12,58,27,369
240217521011,24, Maryland,21, Frederick County,191923.0,740,27,6,30,27,158,492
240217521012,24, Maryland,21, Frederick County,138594.0,411,35,10,94,52,27,193
240217521021,24, Maryland,21, Frederick County,137083.0,516,19,45,72,87,50,243
240217521022,24, Maryland,21, Frederick County,212656.0,1245,57,66,117,40,138,827
240217521023,24, Maryland,21, Frederick County,,25,0,0,25,0,0,0
240217521024,24, Maryland,21, Frederick County,168056.0,370,5,0,43,41,67,214
240217522011,24, Maryland,21, Frederick County,135833.0,528,22,46,77,96,55,232
240217522012,24, Maryland,21, Frederick County,151591.0,306,45,11,46,18,26,160
240217522021,24, Maryland,21, Frederick County,122228.0,566,35,49,135,69,16,262
240217522022,24, Maryland,21, Frederick County,215694.0,383,0,0,20,47,0,316
240217522023,24, Maryland,21, Frederick County,191500.0,256,18,11,1,45,0,181
240217522051,24, Maryland,21, Frederick County,201806.0,1034,12,4,179,75,87,677
240217522061,24, Maryland,21, Frederick County,183873.0,396,14,13,72,15,24,258
240217522062,24, Maryland,21, Frederick County,191331.0,559,0,0,76,10,69,404
240217522063,24, Maryland,21, Frederick County,151477.0,403,32,53,31,68,11,208
240217522064,24, Maryland,21, Frederick County,161786.0,644,0,89,35,46,137,337
240217523011,24, Maryland,21, Frederick County,111875.0,830,83,74,123,160,141,249
240217523012,24, Maryland,21, Frederick County,138393.0,165,10,11,44,10,37,53
240217523013,24, Maryland,21, Frederick County,100156.0,497,77,97,74,35,42,172
240217523014,24, Maryland,21, Frederick County,133184.0,943,19,69,93,217,229,316
240217523021,24, Maryland,21, Frederick County,123720.0,323,0,43,86,54,12,128
240217523022,24, Maryland,21, Frederick County,189063.0,822,22,35,27,127,90,521
240217523023,24, Maryland,21, Frederick County,107396.0,348,40,54,46,64,8,136
240217523031,24, Maryland,21, Frederick County,167303.0,119,0,10,10,22,0,77
240217523032,24, Maryland,21, Frederick County,117629.0,249,34,6,56,66,5,82
240217523033,24, Maryland,21, Frederick County,121544.0,773,21,74,99,202,59,318
240217525011,24, Maryland,21, Frederick County,147935.0,310,43,46,20,0,65,136
240217525012,24, Maryland,21, Frederick County,118942.0,501,75,33,102,46,50,195
240217525013,24, Maryland,21, Frederick County,129815.0,360,0,35,94,26,106,99
240217525014,24, Maryland,21, Frederick County,109556.0,681,55,60,143,119,21,283
240217525021,24, Maryland,21, Frederick County,129412.0,542,37,39,117,55,68,226
240217525022,24, Maryland,21, Frederick County,185275.0,445,27,42,39,22,26,289
240217526011,24, Maryland,21, Frederick County,191991.0,745,18,32,91,91,35,478
240217526012,24, Maryland,21, Frederick County,131250.0,106,27,0,0,14,20,45
240217526013,24, Maryland,21, Frederick County,126641.0,321,9,38,88,15,46,125
240217526014,24, Maryland,21, Frederick County,133929.0,354,27,27,99,12,64,125
240217526021,24, Maryland,21, Frederick County,87875.0,198,37,44,60,18,14,25
240217526022,24, Maryland,21, Frederick County,125958.0,165,0,11,12,48,38,56
240217526023,24, Maryland,21, Frederick County,189417.0,503,20,22,47,49,81,284
240217526031,24, Maryland,21, Frederick County,109347.0,443,9,48,74,142,13,157
240217526032,24, Maryland,21, Frederick County,143094.0,579,57,16,71,12,185,238
240217526033,24, Maryland,21, Frederick County,172750.0,416,7,8,86,25,74,216
240217528011,24, Maryland,21, Frederick County,113269.0,480,37,107,65,79,37,155
240217528012,24, Maryland,21, Frederick County,147614.0,317,27,20,35,46,41,148
240217528021,24, Maryland,21, Frederick County,148393.0,457,36,44,86,15,52,224
240217528022,24, Maryland,21, Frederick County,139223.0,848,55,70,98,95,208,322
240217529001,24, Maryland,21, Frederick County,104875.0,415,52,83,63,78,12,127
240217529002,24, Maryland,21, Frederick County,85652.0,888,104,107,333,122,105,117
240217530011,24, Maryland,21, Frederick County,90203.0,182,29,39,66,0,12,36
240217530012,24, Maryland,21, Frederick County,86366.0,469,25,49,180,52,63,100
240217530013,24, Maryland,21, Frederick County,73125.0,151,30,0,102,0,19,0
240217530014,24, Maryland,21, Frederick County,,110,67,14,29,0,0,0
240217530015,24, Maryland,21, Frederick County,99167.0,502,33,61,160,53,28,167
240217530016,24, Maryland,21, Frederick County,92273.0,632,184,32,148,70,53,145
240217530021,24, Maryland,21, Frederick County,41563.0,70,20,50,0,0,0,0
240217530022,24, Maryland,21, Frederick County,85152.0,318,65,53,72,38,30,60
240217530023,24, Maryland,21, Frederick County,76679.0,421,81,96,92,66,19,67
240217530024,24, Maryland,21, Frederick County,112788.0,149,29,28,7,22,26,37
240217651001,24, Maryland,21, Frederick County,70735.0,950,206,177,361,62,88,56
240217651002,24, Maryland,21, Frederick County,99639.0,541,44,65,169,122,20,121
240217651003,24, Maryland,21, Frederick County,69760.0,367,55,36,182,51,11,32
240217668001,24, Maryland,21, Frederick County,100945.0,403,60,36,90,86,47,84
240217668002,24, Maryland,21, Frederick County,46927.0,499,199,97,88,50,10,55
240217668003,24, Maryland,21, Frederick County,,114,11,23,24,7,16,33
240217668004,24, Maryland,21, Frederick County,88448.0,458,135,40,96,77,29,81
240217675001,24, Maryland,21, Frederick County,73529.0,372,35,42,139,26,18,112
240217675002,24, Maryland,21, Frederick County,85500.0,356,38,98,61,43,9,107
240217675003,24, Maryland,21, Frederick County,71417.0,341,80,82,50,19,21,89
240217676001,24, Maryland,21, Frederick County,105781.0,407,33,44,101,70,37,122
240217676002,24, Maryland,21, Frederick County,128750.0,531,88,43,74,56,52,218
240217676003,24, Maryland,21, Frederick County,,250,20,49,60,12,13,96
240217707001,24, Maryland,21, Frederick County,145625.0,690,36,75,87,74,82,336
240217707002,24, Maryland,21, Frederick County,100000.0,402,40,22,139,44,12,145
240217707003,24, Maryland,21, Frederick County,148333.0,336,7,15,63,8,87,156
240217722001,24, Maryland,21, Frederick County,79722.0,484,116,29,166,33,26,114
240217722002,24, Maryland,21, Frederick County,51595.0,295,104,70,47,17,6,51
240217735001,24, Maryland,21, Frederick County,78516.0,356,45,52,114,15,20,110
240217735002,24, Maryland,21, Frederick County,85417.0,454,62,82,144,96,60,10
240217735003,24, Maryland,21, Frederick County,125121.0,819,64,62,120,162,127,284
240217753021,24, Maryland,21, Frederick County,86125.0,343,11,114,63,44,51,60
240217753022,24, Maryland,21, Frederick County,124464.0,515,30,19,90,120,92,164
240217753023,24, Maryland,21, Frederick County,138839.0,173,19,15,27,13,19,80
240217753024,24, Maryland,21, Frederick County,90982.0,132,9,10,64,38,1,10
240217753025,24, Maryland,21, Frederick County,116000.0,470,11,35,94,110,69,151
240217753026,24, Maryland,21, Frederick County,111607.0,436,10,33,77,123,60,133
