GEOID,STATEFP,STATE,COUNTYFP,COUNTY,TOT_POP22,NHSP_POP22,HSP_POP22,WHT_NHSP22,BLK_NHSP22,AIA_NHSP22,ASN_NHSP22,HPI_NHSP22,OTH_NHSP22
240217402001,24, Maryland,21, Frederick County,371,371,0,301,0,0,0,0,0
240217402002,24, Maryland,21, Frederick County,1563,1506,57,1325,83,0,50,0,16
240217402003,24, Maryland,21, Frederick County,1563,1537,26,1404,59,0,13,0,0
240217402004,24, Maryland,21, Frederick County,1847,1556,291,1267,139,0,106,0,0
240217501001,24, Maryland,21, Frederick County,669,631,38,511,60,0,15,0,0
240217501002,24, Maryland,21, Frederick County,953,891,62,865,4,0,0,0,0
240217502001,24, Maryland,21, Frederick County,761,697,64,581,59,0,26,0,0
240217502002,24, Maryland,21, Frederick County,1199,1171,28,1007,70,0,40,0,0
240217503001,24, Maryland,21, Frederick County,1140,1061,79,766,264,0,0,0,0
240217503002,24, Maryland,21, Frederick County,649,602,47,417,167,0,6,0,0
240217505041,24, Maryland,21, Frederick County,1715,1003,712,547,359,0,75,0,0
240217505042,24, Maryland,21, Frederick County,1534,1119,415,742,234,0,105,0,0
240217505043,24, Maryland,21, Frederick County,1963,1799,164,983,363,0,211,0,0
240217505044,24, Maryland,21, Frederick County,606,493,113,172,321,0,0,0,0
240217505051,24, Maryland,21, Frederick County,2508,1543,965,900,381,0,204,0,58
240217505052,24, Maryland,21, Frederick County,1984,1733,251,1276,112,0,242,0,0
240217505053,24, Maryland,21, Frederick County,3170,1404,1766,289,476,0,292,0,0
240217505061,24, Maryland,21, Frederick County,1739,1575,164,763,452,0,220,0,20
240217505062,24, Maryland,21, Frederick County,1413,733,680,433,195,0,27,0,0
240217505063,24, Maryland,21, Frederick County,1104,763,341,519,17,0,12,0,0
240217505064,24, Maryland,21, Frederick County,49,49,0,37,0,0,0,0,0
240217505071,24, Maryland,21, Frederick County,1069,861,208,594,173,0,55,0,0
240217505072,24, Maryland,21, Frederick County,1947,643,1304,185,242,0,119,0,0
240217505073,24, Maryland,21, Frederick County,1025,440,585,160,224,0,0,0,0
240217505081,24, Maryland,21, Frederick County,1303,1043,260,500,465,7,56,0,0
240217505082,24, Maryland,21, Frederick County,2383,1917,466,773,1051,0,11,0,0
240217505083,24, Maryland,21, Frederick County,235,133,102,35,72,0,26,0,0
