GEOID,STATEFP,STATE,COUNTYFP,COUNTY,MEDN_INC22,TOT_HOUS22,0_35K,35K_60K,60K-100K,100K_125K,125K_150K,150K_MORE
450219701011,45, South Carolina,21, Cherokee County,46724.0,672,167,232,168,0,105,0
450219701012,45, South Carolina,21, Cherokee County,61300.0,798,201,146,201,146,63,41
450219701021,45, South Carolina,21, Cherokee County,58197.0,436,104,158,123,38,0,13
450219701022,45, South Carolina,21, Cherokee County,80492.0,370,100,72,141,34,10,13
450219701023,45, South Carolina,21, Cherokee County,74139.0,765,87,152,209,52,90,175
450219702011,45, South Carolina,21, Cherokee County,,318,96,76,20,48,8,70
450219702012,45, South Carolina,21, Cherokee County,40431.0,166,78,81,7,0,0,0
450219702013,45, South Carolina,21, Cherokee County,49607.0,939,393,228,190,91,0,37
450219702031,45, South Carolina,21, Cherokee County,56875.0,352,111,68,149,24,0,0
450219702032,45, South Carolina,21, Cherokee County,44635.0,354,136,135,25,32,0,26
450219702033,45, South Carolina,21, Cherokee County,81719.0,311,36,92,140,0,0,43
450219702041,45, South Carolina,21, Cherokee County,80530.0,714,132,82,284,118,17,81
450219702042,45, South Carolina,21, Cherokee County,72440.0,1053,277,177,261,133,55,150
450219703011,45, South Carolina,21, Cherokee County,57250.0,877,278,185,233,49,74,58
450219703012,45, South Carolina,21, Cherokee County,32212.0,385,204,112,25,13,0,31
450219703013,45, South Carolina,21, Cherokee County,42641.0,309,106,151,43,0,0,9
450219703021,45, South Carolina,21, Cherokee County,11922.0,699,520,149,30,0,0,0
450219703022,45, South Carolina,21, Cherokee County,34177.0,331,179,49,103,0,0,0
450219703023,45, South Carolina,21, Cherokee County,38125.0,270,130,51,74,15,0,0
450219703024,45, South Carolina,21, Cherokee County,14169.0,543,410,53,31,38,0,11
450219704011,45, South Carolina,21, Cherokee County,30055.0,629,398,76,69,52,7,27
450219704012,45, South Carolina,21, Cherokee County,49682.0,680,198,189,114,65,22,92
450219704031,45, South Carolina,21, Cherokee County,53393.0,482,136,169,55,60,33,29
450219704032,45, South Carolina,21, Cherokee County,122750.0,367,53,50,74,65,83,42
450219704033,45, South Carolina,21, Cherokee County,,257,120,16,42,31,13,35
450219704041,45, South Carolina,21, Cherokee County,71364.0,294,59,82,65,17,35,36
450219704042,45, South Carolina,21, Cherokee County,46006.0,522,101,222,78,53,40,28
450219704043,45, South Carolina,21, Cherokee County,22813.0,181,126,19,32,4,0,0
