GEOID,STATEFP,STATE,COUNTYFP,COUNTY,TOT_POP22,NHSP_POP22,HSP_POP22,WHT_NHSP22,BLK_NHSP22,AIA_NHSP22,ASN_NHSP22,HPI_NHSP22,OTH_NHSP22
450219701011,45, South Carolina,21, Cherokee County,1654,1581,73,1461,120,0,0,0,0
450219701012,45, South Carolina,21, Cherokee County,1838,1789,49,1645,7,0,0,0,0
450219701021,45, South Carolina,21, Cherokee County,1194,1166,28,1146,0,0,0,0,0
450219701022,45, South Carolina,21, Cherokee County,883,813,70,781,32,0,0,0,0
450219701023,45, South Carolina,21, Cherokee County,1879,1879,0,1723,83,0,0,0,0
450219702011,45, South Carolina,21, Cherokee County,1188,1188,0,491,369,0,4,0,315
450219702012,45, South Carolina,21, Cherokee County,465,433,32,131,95,13,0,0,149
450219702013,45, South Carolina,21, Cherokee County,2076,1753,323,1282,280,0,0,0,0
450219702031,45, South Carolina,21, Cherokee County,899,899,0,537,344,0,18,0,0
450219702032,45, South Carolina,21, Cherokee County,908,841,67,640,201,0,0,0,0
450219702033,45, South Carolina,21, Cherokee County,1177,1066,111,513,553,0,0,0,0
450219702041,45, South Carolina,21, Cherokee County,1593,1593,0,1439,51,0,0,0,0
450219702042,45, South Carolina,21, Cherokee County,3477,2925,552,2693,154,0,0,0,0
450219703011,45, South Carolina,21, Cherokee County,2329,2167,162,1067,1072,0,0,0,0
450219703012,45, South Carolina,21, Cherokee County,813,813,0,546,242,0,0,0,0
450219703013,45, South Carolina,21, Cherokee County,963,700,263,219,460,0,0,0,0
450219703021,45, South Carolina,21, Cherokee County,1463,1463,0,238,1177,0,0,0,0
450219703022,45, South Carolina,21, Cherokee County,1121,1121,0,666,455,0,0,0,0
450219703023,45, South Carolina,21, Cherokee County,670,670,0,450,197,0,0,0,0
450219703024,45, South Carolina,21, Cherokee County,1098,1098,0,829,209,0,0,0,0
450219704011,45, South Carolina,21, Cherokee County,1557,1437,120,1172,184,0,0,0,0
450219704012,45, South Carolina,21, Cherokee County,1808,1704,104,1553,105,0,0,0,35
450219704031,45, South Carolina,21, Cherokee County,1336,1326,10,1156,87,0,2,0,0
450219704032,45, South Carolina,21, Cherokee County,1223,1223,0,1223,0,0,0,0,0
450219704033,45, South Carolina,21, Cherokee County,700,673,27,390,192,0,2,0,0
450219704041,45, South Carolina,21, Cherokee County,1205,848,357,781,26,0,0,0,0
450219704042,45, South Carolina,21, Cherokee County,1416,1360,56,1360,0,0,0,0,0
450219704043,45, South Carolina,21, Cherokee County,371,371,0,350,21,0,0,0,0
450219705011,45, South Carolina,21, Cherokee County,2317,2305,12,1861,433,0,0,0,0
450219705021,45, South Carolina,21, Cherokee County,818,811,7,238,494,3,0,0,0
450219705022,45, South Carolina,21, Cherokee County,478,468,10,405,43,0,0,0,0
450219705023,45, South Carolina,21, Cherokee County,540,517,23,188,313,0,0,0,0
450219705024,45, South Carolina,21, Cherokee County,781,624,157,137,478,0,0,0,0
450219705025,45, South Carolina,21, Cherokee County,1115,1115,0,47,1048,0,0,0,0
450219705026,45, South Carolina,21, Cherokee County,908,908,0,528,350,0,0,0,0
450219705031,45, South Carolina,21, Cherokee County,498,498,0,498,0,0,0,0,0
450219705032,45, South Carolina,21, Cherokee County,605,605,0,605,0,0,0,0,0
450219706011,45, South Carolina,21, Cherokee County,810,801,9,694,57,50,0,0,0
450219706012,45, South Carolina,21, Cherokee County,944,932,12,553,304,24,0,0,0
450219706013,45, South Carolina,21, Cherokee County,794,793,1,514,202,0,0,0,0
450219706014,45, South Carolina,21, Cherokee County,1349,1349,0,1047,189,0,0,0,0
450219706015,45, South Carolina,21, Cherokee County,1327,1327,0,1214,113,0,0,0,0
450219706021,45, South Carolina,21, Cherokee County,851,851,0,851,0,0,0,0,0
450219706022,45, South Carolina,21, Cherokee County,1495,1474,21,1379,45,0,9,0,0
450219707001,45, South Carolina,21, Cherokee County,540,540,0,490,31,0,0,0,19
450219707002,45, South Carolina,21, Cherokee County,1229,1184,45,902,211,0,62,0,0
450219707003,45, South Carolina,21, Cherokee County,1497,1433,64,1158,0,0,0,0,105
450499201001,45, South Carolina,49, Hampton County,898,896,2,469,374,0,0,0,6
450499201002,45, South Carolina,49, Hampton County,739,730,9,495,206,0,0,0,0
450499201003,45, South Carolina,49, Hampton County,1051,1051,0,453,598,0,0,0,0
450499202011,45, South Carolina,49, Hampton County,1985,1950,35,957,953,0,0,0,0
450499202012,45, South Carolina,49, Hampton County,1435,1435,0,510,889,0,23,0,0
450499202013,45, South Carolina,49, Hampton County,1297,955,342,380,563,0,0,0,0
450499202021,45, South Carolina,49, Hampton County,468,468,0,328,140,0,0,0,0
450499202022,45, South Carolina,49, Hampton County,1021,1009,12,594,327,4,46,0,0
450499202023,45, South Carolina,49, Hampton County,789,789,0,479,233,0,77,0,0
450499203001,45, South Carolina,49, Hampton County,1037,1037,0,195,751,0,0,0,76
450499203002,45, South Carolina,49, Hampton County,968,968,0,343,586,0,0,0,0
450499204011,45, South Carolina,49, Hampton County,601,476,125,85,373,0,0,0,0
450499204012,45, South Carolina,49, Hampton County,729,678,51,20,658,0,0,0,0
450499204021,45, South Carolina,49, Hampton County,864,694,170,343,351,0,0,0,0
450499204022,45, South Carolina,49, Hampton County,1069,1069,0,1007,62,0,0,0,0
450499204023,45, South Carolina,49, Hampton County,965,965,0,95,870,0,0,0,0
450499204024,45, South Carolina,49, Hampton County,829,666,163,14,652,0,0,0,0
450499205001,45, South Carolina,49, Hampton County,647,647,0,49,598,0,0,0,0
450499205002,45, South Carolina,49, Hampton County,1498,1478,20,706,765,0,0,0,0
450310101001,45, South Carolina,31, Darlington County,410,410,0,111,245,0,11,0,0
450310101002,45, South Carolina,31, Darlington County,1134,1134,0,593,541,0,0,0,0
450310101003,45, South Carolina,31, Darlington County,562,562,0,250,312,0,0,0,0
450310101004,45, South Carolina,31, Darlington County,504,504,0,221,267,0,0,0,6
450310102001,45, South Carolina,31, Darlington County,853,848,5,826,0,0,0,0,0
450310102002,45, South Carolina,31, Darlington County,2713,2713,0,2428,285,0,0,0,0
450310102003,45, South Carolina,31, Darlington County,1230,1230,0,589,506,0,0,0,0
450310102004,45, South Carolina,31, Darlington County,503,503,0,338,165,0,0,0,0
450310103001,45, South Carolina,31, Darlington County,1228,1152,76,1027,96,29,0,0,0
450310103002,45, South Carolina,31, Darlington County,1881,1881,0,1155,315,0,0,0,0
450310103003,45, South Carolina,31, Darlington County,1067,1016,51,677,339,0,0,0,0
450310103004,45, South Carolina,31, Darlington County,987,987,0,737,160,8,0,0,0
450310104001,45, South Carolina,31, Darlington County,858,858,0,812,46,0,0,0,0
450310104002,45, South Carolina,31, Darlington County,2690,2682,8,2182,393,0,107,0,0
450310104003,45, South Carolina,31, Darlington County,386,386,0,346,0,0,0,0,0
450310104004,45, South Carolina,31, Darlington County,1797,1598,199,1342,172,0,11,0,0
450310105001,45, South Carolina,31, Darlington County,890,890,0,557,294,0,5,0,0
450310105002,45, South Carolina,31, Darlington County,833,833,0,599,217,0,14,0,0
450310105003,45, South Carolina,31, Darlington County,549,549,0,473,76,0,0,0,0
450310106001,45, South Carolina,31, Darlington County,1390,1303,87,783,476,0,15,0,0
450310106002,45, South Carolina,31, Darlington County,1414,1414,0,407,888,0,116,0,0
450310106003,45, South Carolina,31, Darlington County,1617,1330,287,380,949,0,0,0,0
450310107001,45, South Carolina,31, Darlington County,571,571,0,0,571,0,0,0,0
450310107002,45, South Carolina,31, Darlington County,1238,1238,0,0,1238,0,0,0,0
450310107003,45, South Carolina,31, Darlington County,491,491,0,20,443,0,0,8,20
450310108001,45, South Carolina,31, Darlington County,760,760,0,195,565,0,0,0,0
450310108002,45, South Carolina,31, Darlington County,1606,1606,0,1038,566,0,0,0,0
450310109011,45, South Carolina,31, Darlington County,1650,1650,0,1136,491,15,0,0,0
450310109012,45, South Carolina,31, Darlington County,1077,1077,0,830,247,0,0,0,0
450310109013,45, South Carolina,31, Darlington County,1237,1209,28,419,769,0,0,0,0
450310109021,45, South Carolina,31, Darlington County,827,827,0,311,508,0,8,0,0
